title,link,description,pub_date,source,source_url,extracted_at,domain,is_credible_source,has_suspicious_tld,has_suspicious_pattern,credibility_score,title_length,word_count,sensational_count,bias_count,has_excessive_caps,caps_word_count,exclamation_count,question_count,has_clickbait_pattern,emotional_score,content_length,has_unattributed_claims,has_citation,has_statistics,risk_score
Global Warming Alert,/news/articles/abcd1234,Scientists warn that global warming may accelerate in coming decades.,18-12-2025,The Guardian,https://www.theguardian.com,18-12-2025 14:10,theguardian.com,TRUE,FALSE,FALSE,1,5,10,0,0,FALSE,0,0,0,FALSE,0,95,FALSE,TRUE,TRUE,0.3
Stock Markets Surge,/news/articles/efgh5678,US stock markets hit record highs after tech sector rally.,18-12-2025,CNBC,https://www.cnbc.com,18-12-2025 14:12,cnbc.com,TRUE,FALSE,FALSE,1,5,9,0,0,FALSE,0,0,0,FALSE,0,89,FALSE,TRUE,TRUE,0.25
New Species Discovered,/news/articles/ijkl9012,Biologists discover a new species of frog in the Amazon rainforest.,18-12-2025,National Geographic,https://www.nationalgeographic.com,18-12-2025 14:15,nationalgeographic.com,TRUE,FALSE,FALSE,1,5,11,0,0,FALSE,0,0,0,FALSE,0,120,FALSE,TRUE,TRUE,0.2
Celebrity Scandal,/news/articles/mnop3456,Famous actor caught in controversy over social media post.,18-12-2025,TMZ,https://www.tmz.com,18-12-2025 14:20,tmz.com,FALSE,FALSE,TRUE,0,4,8,1,1,TRUE,2,1,0,TRUE,5,78,TRUE,FALSE,FALSE,0.7
AI Breakthrough,/news/articles/qrst7890,Researchers create AI model that writes poetry indistinguishable from humans.,18-12-2025,MIT Technology Review,https://www.technologyreview.com,18-12-2025 14:25,technologyreview.com,TRUE,FALSE,FALSE,1,4,12,0,0,FALSE,0,0,0,FALSE,2,140,FALSE,TRUE,TRUE,0.2
Earthquake Strikes Japan,/news/articles/uvwx1234,A 6.8 magnitude earthquake hits southern Japan causing damage and panic.,18-12-2025,BBC News,https://www.bbc.com,18-12-2025 14:30,bbc.com,TRUE,FALSE,TRUE,1,5,11,1,0,FALSE,0,0,0,FALSE,4,110,FALSE,TRUE,TRUE,0.35
Rare Meteor Shower,/news/articles/yzaa5678,Skywatchers prepare for a rare meteor shower visible across the globe.,18-12-2025,Space.com,https://www.space.com,18-12-2025 14:35,space.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,1,95,FALSE,TRUE,TRUE,0.2
Political Tensions Rise,/news/articles/bbbc9012,Tensions increase between neighboring countries over border disputes.,18-12-2025,Reuters,https://www.reuters.com,18-12-2025 14:40,reuters.com,TRUE,FALSE,FALSE,1,4,9,0,0,FALSE,0,0,0,FALSE,2,102,FALSE,TRUE,TRUE,0.25
New Movie Release,/news/articles/ccdd3456,Highly anticipated blockbuster premieres this weekend.,18-12-2025,Variety,https://www.variety.com,18-12-2025 14:45,variety.com,TRUE,FALSE,FALSE,1,4,8,0,0,FALSE,0,0,0,FALSE,3,85,FALSE,TRUE,TRUE,0.2
Crypto Market Volatility,/news/articles/deee7890,Bitcoin prices fluctuate wildly as investors react to regulatory news.,18-12-2025,CoinDesk,https://www.coindesk.com,18-12-2025 14:50,coindesk.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,3,98,FALSE,TRUE,TRUE,0.3
Climate Policy Debate,/news/articles/efff1234,Governments debate new climate policies at international summit.,18-12-2025,The Economist,https://www.economist.com,18-12-2025 14:55,economist.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,2,105,FALSE,TRUE,TRUE,0.2
Sports Championship,/news/articles/fggg5678,Local team wins national championship in thrilling final match.,18-12-2025,ESPN,https://www.espn.com,18-12-2025 15:00,espn.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,4,95,FALSE,TRUE,TRUE,0.2
Tech Company Earnings,/news/articles/hhhh9012,Major tech company reports record profits for the quarter.,18-12-2025,Bloomberg,https://www.bloomberg.com,18-12-2025 15:05,bloomberg.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,3,100,FALSE,TRUE,TRUE,0.25
Health Breakthrough,/news/articles/iiii3456,New vaccine shows promising results in clinical trials.,18-12-2025,WebMD,https://www.webmd.com,18-12-2025 15:10,webmd.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,2,110,FALSE,TRUE,TRUE,0.2
Rare Art Discovery,/news/articles/jjjj7890,Lost masterpiece by famous painter discovered in private collection.,18-12-2025,ArtNet News,https://www.artnet.com,18-12-2025 15:15,artnet.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,2,108,FALSE,TRUE,TRUE,0.2
Airline Merger,/news/articles/kkkk1234,Two major airlines announce merger to expand international routes.,18-12-2025,The New York Times,https://www.nytimes.com,18-12-2025 15:20,nytimes.com,TRUE,FALSE,FALSE,1,4,11,0,0,FALSE,0,0,0,FALSE,3,112,FALSE,TRUE,TRUE,0.25
Solar Energy Boom,/news/articles/llll5678,Solar energy installations surge worldwide amid climate concerns.,18-12-2025,Financial Times,https://www.ft.com,18-12-2025 15:25,ft.com,TRUE,FALSE,FALSE,1,4,11,0,0,FALSE,0,0,0,FALSE,2,115,FALSE,TRUE,TRUE,0.2
Famous Author Interview,/news/articles/mmmm9012,Author discusses latest novel and writing inspirations.,18-12-2025,The Guardian,https://www.theguardian.com,18-12-2025 15:30,theguardian.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,1,90,FALSE,TRUE,TRUE,0.2
Rare Wildlife Sighting,/news/articles/nnnn3456,Tourists spot rare snow leopard in Himalayan region.,18-12-2025,National Geographic,https://www.nationalgeographic.com,18-12-2025 15:35,nationalgeographic.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,2,105,FALSE,TRUE,TRUE,0.2
Major Policy Reform,/news/articles/oooo7890,Government announces sweeping education reforms.,18-12-2025,BBC News,https://www.bbc.com,18-12-2025 15:40,bbc.com,TRUE,FALSE,FALSE,1,4,10,0,0,FALSE,0,0,0,FALSE,3,100,FALSE,TRUE,TRUE,0.25
